Time - Plot 0,Amplitude - Plot 0
1070345:28:54.424072,-10.6888
1070345:28:54.433083,-7.5845
1070345:28:54.442099,-6.74856
1070345:28:54.451135,-9.49995
1070345:28:54.459216,-10.5364
1070345:28:54.468543,-7.58843
1070345:28:54.526317,-6.62971
1070345:28:54.534526,-7.18934
1070345:28:54.543038,-11.2482
1070345:28:54.552303,-10.0219
1070345:28:54.560326,-6.61531
1070345:28:54.568878,-6.7451
1070345:28:54.626985,-6.8209
1070345:28:54.636162,-7.64752
1070345:28:54.644445,-9.48117
1070345:28:54.653556,-7.43882
1070345:28:54.662230,-5.90447
1070345:28:54.670379,-7.39696
1070345:28:54.728523,-8.56743
1070345:28:54.737135,-8.4828
1070345:28:54.746111,-6.98304
1070345:28:54.754377,-7.16322
1070345:28:54.763296,-8.48442
1070345:28:54.772362,-8.33751
1070345:28:54.781349,-7.91459
1070345:28:54.839000,-6.40419
1070345:28:54.847501,-8.3148
1070345:28:54.856374,-8.49412
1070345:28:54.864893,-10.5555
1070345:28:54.873863,-11.6433
1070345:28:54.883071,-9.1617
1070345:28:54.941267,-9.19418
1070345:28:54.949982,-11.6423
1070345:28:54.958879,-10.3033
1070345:28:54.967525,-11.6429
1070345:28:54.976394,-9.45455
1070345:28:54.985329,-11.6428
1070345:28:55.042645,-11.6428
1070345:28:55.051657,-11.6425
1070345:28:55.059695,-11.6427
1070345:28:55.068880,-11.6426
1070345:28:55.077502,-11.6428
1070345:28:55.086829,-11.6428
1070345:28:55.143558,-11.6425
1070345:28:55.152615,-11.6424
1070345:28:55.160628,-9.55088
1070345:28:55.169869,-11.6426
1070345:28:55.178408,-11.6424
1070345:28:55.187739,-11.6426
1070345:28:55.245817,-11.6427
1070345:28:55.253817,-11.6426
1070345:28:55.263302,-11.6428
1070345:28:55.271339,-11.6425
1070345:28:55.280520,-11.6428
1070345:28:55.289851,-11.6429
1070345:28:55.347302,-11.3736
1070345:28:55.355966,-11.6431
1070345:28:55.364242,-11.6432
1070345:28:55.373296,-11.643
1070345:28:55.381991,-11.6435
1070345:28:55.391792,-11.6425
1070345:28:55.448694,-11.6431
1070345:28:55.457737,-11.6428
1070345:28:55.466512,-11.6426
1070345:28:55.474526,-11.6427
1070345:28:55.482650,-7.89704
1070345:28:55.493097,-11.6332
1070345:28:55.550544,-11.6428
1070345:28:55.558079,-11.6425
1070345:28:55.567250,-11.6425
1070345:28:55.576315,-11.6425
1070345:28:55.584336,-7.27995
1070345:28:55.593524,-11.6428
1070345:28:55.651229,-11.6422
1070345:28:55.660241,-11.3672
1070345:28:55.668900,-11.6428
1070345:28:55.677306,-11.6426
1070345:28:55.685979,-11.643
1070345:28:55.695629,-11.6428
1070345:28:55.752972,-11.643
1070345:28:55.761733,-9.84516
1070345:28:55.770418,-11.6428
