Time - Plot 0,Amplitude - Plot 0
20:15.488877,-1.58157
20:15.497855,-1.55128
20:15.506829,-1.51881
20:15.516803,-1.54544
20:15.575069,-1.55037
20:15.584798,-1.55287
20:15.593751,-1.57807
20:15.603713,-1.75239
20:15.613309,-1.71024
20:15.670610,-1.7199
20:15.681013,-1.70136
20:15.690915,-1.67758
20:15.700354,-1.6806
20:15.709360,-1.65282
20:15.719317,-1.68318
20:15.777602,-1.56147
20:15.787231,-1.62995
20:15.796355,-1.77974
20:15.806368,-1.98074
20:15.815368,-1.6765
20:15.871917,-1.59937
20:15.881966,-1.73027
20:15.892642,-1.70059
20:15.901817,-1.74757
20:15.911314,-1.80379
20:15.920184,-1.77255
20:15.978072,-1.69629
20:15.988041,-1.67352
20:15.997904,-1.76402
20:16.007709,-2.06788
20:16.016706,-1.91474
20:16.073654,-1.74146
20:16.083482,-1.85502
20:16.093545,-1.95036
20:16.103276,-1.99847
20:16.112096,-2.00388
20:16.121323,-1.75803
20:16.178340,-2.054
20:16.189166,-1.84473
20:16.199149,-1.93692
20:16.208155,-2.24522
20:16.218184,-1.80508
20:16.227747,-1.83762
20:16.286042,-1.92525
20:16.295094,-1.95346
20:16.305434,-1.85354
20:16.314501,-1.67417
20:16.324301,-1.96291
20:16.380451,-1.57402
20:16.391703,-1.55118
20:16.401793,-1.65687
20:16.411042,-1.57556
20:16.420237,-1.88755
20:16.429767,-2.10372
20:16.487885,-1.70022
20:16.496908,-1.55193
20:16.507060,-1.62659
20:16.515549,-2.22913
20:16.525692,-2.33179
20:16.582803,-1.74963
20:16.593102,-1.74524
20:16.602616,-1.79602
20:16.613214,-2.05369
20:16.622116,-1.86571
20:16.679403,-1.68153
20:16.689628,-1.66882
20:16.698917,-1.69439
20:16.707953,-2.04394
20:16.718059,-2.07862
20:16.726878,-1.95319
20:16.736715,-1.81653
20:16.795757,-2.14013
20:16.804932,-2.35817
20:16.813940,-2.1253
20:16.823620,-1.84132
20:16.832873,-1.7819
20:16.891058,-5.2768
20:16.900122,-2.70793
20:16.909102,-2.84319
20:16.919106,-6.37314
20:16.928202,-8.22126
20:16.985934,-9.00478
20:16.996055,-8.46377
20:17.005021,-6.77727
20:17.014246,-5.41052
20:17.024458,-4.454
20:17.034094,-3.92316
20:17.044122,-3.00449
20:17.101707,-3.30035
20:17.110722,-4.07527
20:17.120735,-4.61065
20:17.130832,-5.85572
20:17.139769,-6.81728
20:17.198196,-9.75935
20:17.206768,-9.97321
20:17.216747,-10.0702
20:17.226743,-9.92496
20:17.235730,-9.6171
20:17.246160,-9.17579
20:17.303916,-5.73509
20:17.312992,-5.24566
20:17.322796,-4.68732
20:17.331804,-3.97906
20:17.342042,-3.74333
20:17.399975,-2.40605
20:17.409243,-2.42486
20:17.418463,-2.50917
20:17.428102,-2.88289
20:17.437993,-3.13855
20:17.447995,-3.2841
20:17.505304,-6.74874
20:17.514476,-7.55966
20:17.523808,-7.75849
20:17.534140,-8.05373
20:17.543109,-8.22899
20:17.601532,-10.0372
20:17.610540,-10.04
20:17.619802,-9.98629
20:17.628963,-10.0089
20:17.639468,-9.95099
20:17.649487,-9.64805
20:17.706694,-7.50839
20:17.715849,-7.05817
20:17.725882,-6.7079
20:17.734282,-6.28095
20:17.745228,-5.838
20:17.803253,-3.57205
20:17.812076,-3.67873
20:17.821935,-3.64052
20:17.830982,-3.41648
20:17.841429,-2.9324
20:17.851335,-2.9537
20:17.909709,-2.3789
