Time - Plot 0,Intensity,Temperature
01:29.579183,-1.22109,24.5826
01:29.588161,-1.20941,24.581
01:29.597150,-1.33247,24.579
01:29.607633,-1.34421,24.5832
01:29.616671,-1.16649,24.5765
01:29.626597,-0.912176,24.5833
01:29.635727,-0.971909,24.5727
01:29.645733,-1.04439,24.5828
01:29.703566,-0.962765,24.5748
01:29.713014,-0.693682,24.5795
01:29.722270,-0.740607,24.5804
01:29.731246,-0.787929,24.5769
01:29.741439,-0.672066,24.5844
01:29.800135,-0.515351,24.5762
01:29.812632,-0.828089,24.5881
01:29.821383,-0.88014,24.5794
01:29.831781,-0.877908,24.5743
01:29.840787,-0.789994,24.5842
01:29.851781,-0.71089,24.5758
01:29.910023,-0.753173,24.5853
01:29.918764,-0.926596,24.5723
01:29.928759,-0.943772,24.5808
01:29.937258,-0.926297,24.5784
01:29.947163,-0.948782,24.5772
01:30.005554,-0.82974,24.5761
01:30.015826,-0.864788,24.5759
01:30.026068,-0.670017,24.5843
01:30.035567,-0.70368,24.5698
01:30.044718,-0.649305,24.5794
01:30.055403,-0.542676,24.5759
01:30.113528,-0.406687,24.5764
01:30.122425,-0.762532,24.577
01:30.132520,-0.778315,24.5727
01:30.141481,-0.985836,24.5821
01:30.152011,-0.974489,24.5735
01:30.209637,-0.770353,24.5828
01:30.218962,-1.76041,24.5721
01:30.228023,-1.65272,24.5767
01:30.238095,-1.40187,24.5743
01:30.247303,-1.32541,24.5758
01:30.256383,-1.2684,24.577
01:30.315630,-1.45415,24.5765
01:30.324689,-0.642929,24.5807
01:30.334761,-0.540079,24.5711
01:30.343821,-0.699422,24.5759
01:30.354450,-0.898234,24.5708
01:30.411875,-1.05497,24.5751
01:30.421982,-0.292182,24.5755
01:30.430945,-0.236642,24.574
01:30.440166,-0.237161,24.5783
01:30.450434,-0.308951,24.5711
01:30.459989,-0.608535,24.5799
01:30.518839,-1.10804,24.57
01:30.527657,-0.394286,24.5768
01:30.537733,-0.31594,24.5738
01:30.546739,-0.45165,24.5741
01:30.604877,-0.871495,24.5762
01:30.623084,-0.646501,24.5747
01:30.632275,-0.481888,24.5718
01:30.642624,-0.982777,24.5798
01:30.651211,-1.67169,24.5714
01:30.661431,-1.95689,24.5799
01:30.719476,-1.20036,24.5707
01:30.728776,-1.79716,24.5782
01:30.737617,-1.74898,24.574
01:30.747778,-1.10709,24.5738
01:30.756873,-0.611549,24.5746
01:30.815067,-0.469313,24.5749
01:30.825169,-0.551956,24.5812
01:30.834150,-1.04666,24.5727
01:30.844302,-1.85105,24.5792
01:30.853878,-2.00881,24.5729
01:30.866038,-1.37286,24.5726
01:30.924360,-0.267327,24.5779
01:30.933939,-1.67722,24.576
01:30.942512,-1.00538,24.5795
01:30.952707,-0.322188,24.5743
01:30.962966,-0.470096,24.58
01:31.019793,-0.722321,24.5754
01:31.030050,-0.819186,24.5796
01:31.039050,-0.592801,24.579
01:31.048812,-0.244822,24.5792
01:31.058605,-0.4783,24.5871
01:31.068618,-0.485352,24.5776
01:31.126794,-0.625452,24.588
01:31.135809,-0.264758,24.579
01:31.144826,-0.903221,24.5868
01:31.154928,-0.905566,24.5849
01:31.163867,-0.736498,24.5829
01:31.222288,-0.704414,24.59
01:31.231296,-0.766899,24.5862
01:31.241236,-0.863022,24.5936
01:31.250307,-0.829232,24.5842
01:31.259500,-0.761314,24.5924
01:31.269939,-0.563273,24.5844
01:31.327286,-0.510114,24.5951
01:31.337216,-0.68578,24.588
01:31.346225,-0.729264,24.5956
01:31.356343,-0.644593,24.5946
01:31.365318,-0.544668,24.5924
01:31.375520,-0.533485,24.6011
01:31.433924,-0.55156,24.595
01:31.443518,-0.728791,24.6015
01:31.453086,-0.558079,24.5925
01:31.462106,-0.534997,24.6022
01:31.472144,-0.545546,24.5978
01:31.530234,-0.52507,24.6048
01:31.540001,-0.506504,24.6049
01:31.549835,-0.45034,24.6041
01:31.558836,-0.482011,24.6142
