Time - Plot 0,Amplitude - Plot 0
20:54.877563,-2.43447
20:54.934977,-2.5424
20:54.944013,-1.37983
20:54.952334,-1.33065
20:54.961530,-0.792952
20:54.969534,-0.450679
20:54.978911,-0.48379
20:54.987890,-0.665692
20:55.044417,-0.636564
20:55.053567,-1.16806
20:55.061352,-1.90066
20:55.070412,-1.95614
20:55.079506,-1.7789
20:55.087741,-2.16531
20:55.144999,-6.32783
20:55.154133,-7.22092
20:55.162606,-7.27533
20:55.170992,-7.21652
20:55.179993,-7.53201
20:55.188574,-8.38882
20:55.246357,-9.88754
20:55.255554,-9.86571
20:55.264250,-9.837
20:55.272327,-9.68235
20:55.281524,-9.0748
20:55.290289,-8.35454
20:55.347671,-5.5515
20:55.356837,-5.4439
20:55.364925,-5.031
20:55.374043,-4.11295
20:55.382107,-2.87088
20:55.391302,-2.73541
20:55.448924,-0.654226
20:55.457789,-0.523423
20:55.466665,-0.420411
20:55.475420,-0.545365
20:55.484179,-0.62722
20:55.492358,-0.850527
20:55.549584,-4.43811
20:55.557725,-5.03765
20:55.566753,-5.02911
20:55.575918,-5.54956
20:55.584656,-6.71076
20:55.593323,-7.62936
20:55.650155,-9.56093
20:55.658746,-9.77269
20:55.667737,-9.80256
20:55.676362,-9.75194
20:55.685113,-9.51807
20:55.693799,-9.22162
20:55.751346,-6.6765
20:55.760080,-5.97
20:55.769083,-5.47479
20:55.777692,-4.71379
20:55.785635,-3.64606
20:55.794858,-3.45718
20:55.851334,-0.99289
20:55.860522,-0.771927
20:55.869566,-0.683825
20:55.877848,-0.70439
20:55.886254,-0.67072
20:55.895406,-0.573445
20:55.952380,-3.62743
20:55.961176,-4.48827
20:55.970328,-4.72923
20:55.979397,-4.93381
20:55.987741,-4.97777
20:55.996484,-6.09888
20:56.053997,-9.27952
20:56.062510,-9.54185
20:56.071392,-9.63853
20:56.080229,-9.72707
20:56.088773,-9.71579
20:56.097462,-9.56413
20:56.154184,-7.62129
20:56.162521,-7.2847
20:56.170985,-6.96666
20:56.179729,-6.00887
20:56.188834,-4.79513
20:56.198420,-4.00173
20:56.255745,-1.17547
20:56.264797,-0.927526
20:56.272957,-0.631056
20:56.282203,-0.395114
20:56.290638,-0.459529
20:56.299603,-0.500329
20:56.356880,-2.55932
20:56.365122,-2.99645
20:56.374085,-4.23759
20:56.382510,-5.10365
20:56.391772,-5.65384
20:56.400458,-6.37504
20:56.457361,-8.72475
20:56.465937,-9.40038
20:56.474771,-9.74271
20:56.483793,-9.74783
20:56.491906,-9.84994
20:56.501209,-9.8572
20:56.558426,-8.94966
20:56.566967,-8.24715
20:56.575832,-7.61224
20:56.584794,-7.45968
20:56.593602,-7.23926
20:56.602386,-6.74495
20:56.659039,-2.98061
20:56.667745,-2.73719
20:56.675795,-2.76468
20:56.684845,-2.84797
20:56.693748,-2.13909
20:56.702487,-1.59971
20:56.760191,-1.24154
20:56.768999,-1.19109
20:56.776978,-1.14129
20:56.786164,-1.38316
20:56.795431,-1.95052
20:56.804360,-2.28856
20:56.861923,-5.28161
20:56.870990,-6.01329
20:56.878978,-6.48912
20:56.887493,-7.03768
20:56.896469,-7.67377
20:56.905246,-8.11296
20:56.962380,-9.74294
20:56.970954,-9.62803
20:56.979387,-9.47232
20:56.987711,-9.28455
20:56.996731,-8.9949
20:57.005778,-8.52703
20:57.063360,-5.16637
20:57.071920,-4.71912
20:57.080439,-4.10972
20:57.088717,-3.40527
20:57.097838,-2.63124
20:57.106845,-2.07832
20:57.163986,-0.411084
20:57.172534,-0.489767
20:57.180623,-0.515705
20:57.189754,-0.753701
20:57.197720,-1.16732
20:57.206756,-1.92805
20:57.263645,-5.83941
20:57.272502,-5.87433
20:57.280753,-6.48113
20:57.289779,-7.32672
20:57.298696,-7.82547
20:57.307234,-8.4399
20:57.364767,-9.78794
20:57.373932,-9.84584
20:57.382182,-9.72164
20:57.390535,-9.56218
20:57.400087,-9.57851
20:57.408828,-9.416
20:57.466076,-6.5284
20:57.475124,-5.67818
20:57.483162,-5.30129
20:57.492228,-5.94373
20:57.500560,-5.95662
20:57.509817,-5.0105
