Time - Plot 0,Amplitude - Plot 0
1070345:21:07.447070,-1.85489
1070345:21:07.456022,-2.21151
1070345:21:07.464024,-1.94758
1070345:21:07.522302,-1.4656
1070345:21:07.530839,-1.45583
1070345:21:07.539685,-1.97912
1070345:21:07.547645,-1.40663
1070345:21:07.556638,-2.16534
1070345:21:07.565627,-2.92891
1070345:21:07.622524,-1.40461
1070345:21:07.630895,-1.48455
1070345:21:07.640021,-1.55786
1070345:21:07.648907,-1.69766
1070345:21:07.656928,-2.66006
1070345:21:07.665935,-1.99961
1070345:21:07.724228,-1.5079
1070345:21:07.732951,-1.59639
1070345:21:07.741395,-1.81664
1070345:21:07.750155,-1.95261
1070345:21:07.758016,-1.75629
1070345:21:07.767258,-1.29879
1070345:21:07.824661,-3.35555
1070345:21:07.833422,-2.09564
1070345:21:07.841944,-1.66794
1070345:21:07.850007,-1.54712
1070345:21:07.859095,-1.45487
1070345:21:07.867563,-1.47447
1070345:21:07.925224,-3.07125
1070345:21:07.933917,-2.23404
1070345:21:07.942928,-1.70095
1070345:21:07.951474,-1.71788
1070345:21:07.959849,-1.79966
1070345:21:07.968858,-2.74273
1070345:21:08.026718,-2.19597
1070345:21:08.035498,-1.95132
1070345:21:08.043797,-1.75091
1070345:21:08.052843,-1.90311
1070345:21:08.060935,-2.23241
1070345:21:08.069212,-1.73965
1070345:21:08.127040,-1.65461
1070345:21:08.136225,-1.6635
1070345:21:08.144385,-1.57036
1070345:21:08.153595,-1.56489
1070345:21:08.162251,-1.59269
1070345:21:08.170707,-2.87265
1070345:21:08.228589,-2.26185
1070345:21:08.237645,-1.87499
1070345:21:08.245705,-2.7175
1070345:21:08.254899,-1.58983
1070345:21:08.262934,-7.49934
1070345:21:08.271965,-1.87913
1070345:21:08.328875,-2.10859
1070345:21:08.338074,-6.18316
1070345:21:08.346666,-3.61357
1070345:21:08.355276,-1.4597
1070345:21:08.364106,-7.02165
1070345:21:08.372061,-1.82146
1070345:21:08.430697,-1.46157
1070345:21:08.439618,-4.67872
1070345:21:08.448599,-1.89913
1070345:21:08.456828,-8.25205
1070345:21:08.464825,-2.63554
1070345:21:08.474136,-3.7604
1070345:21:08.531406,-11.5139
1070345:21:08.540642,-1.28293
1070345:21:08.548645,-8.11919
1070345:21:08.557595,-7.42905
1070345:21:08.566413,-4.96686
1070345:21:08.574876,-11.6436
1070345:21:08.631651,-11.6438
1070345:21:08.640689,-11.6438
1070345:21:08.648878,-11.6437
1070345:21:08.657910,-11.6436
1070345:21:08.666595,-11.6436
1070345:21:08.675167,-11.6434
1070345:21:08.732910,-11.6437
1070345:21:08.741755,-11.6436
1070345:21:08.750582,-11.6433
1070345:21:08.759199,-11.6434
1070345:21:08.768009,-3.54555
1070345:21:08.776133,-3.68775
1070345:21:08.786483,-5.15626
1070345:21:08.843340,-9.26272
1070345:21:08.852003,-11.6432
1070345:21:08.860689,-11.6431
1070345:21:08.868473,-11.6432
1070345:21:08.878226,-11.6431
1070345:21:08.935759,-11.6434
1070345:21:08.944971,-11.643
1070345:21:08.953099,-11.6433
1070345:21:08.962250,-11.643
1070345:21:08.970536,-11.6428
1070345:21:08.978842,-11.6434
1070345:21:09.036848,-11.6429
1070345:21:09.045522,-11.6431
1070345:21:09.054173,-11.6434
1070345:21:09.063224,-11.6429
1070345:21:09.071347,-11.6433
1070345:21:09.079679,-11.6435
1070345:21:09.088859,-11.6435
1070345:21:09.146177,-2.03639
1070345:21:09.155367,-2.44633
1070345:21:09.163504,-1.57255
1070345:21:09.172679,-5.09603
1070345:21:09.180819,-6.69536
1070345:21:09.189504,-7.85107
1070345:21:09.247179,-11.6432
1070345:21:09.256189,-11.6431
1070345:21:09.264216,-11.6432
1070345:21:09.273273,-11.6433
1070345:21:09.281409,-11.6436
1070345:21:09.290431,-11.6438
1070345:21:09.346928,-11.6433
1070345:21:09.356071,-11.6431
1070345:21:09.365224,-11.6435
1070345:21:09.373836,-11.644
1070345:21:09.382310,-11.6442
1070345:21:09.390655,-11.644
1070345:21:09.448361,-6.47571
1070345:21:09.458383,-1.93024
1070345:21:09.466967,-1.9902
1070345:21:09.475487,-1.8133
1070345:21:09.484355,-1.54119
1070345:21:09.492759,-1.89187
1070345:21:09.549638,-11.6436
1070345:21:09.558654,-11.6437
1070345:21:09.567723,-11.643
1070345:21:09.576571,-11.6432
1070345:21:09.585200,-11.6432
1070345:21:09.593615,-11.6432
1070345:21:09.650618,-11.6431
1070345:21:09.659696,-11.6433
1070345:21:09.668824,-11.6429
1070345:21:09.677131,-11.6429
1070345:21:09.686133,-11.6433
1070345:21:09.695140,-11.6433
1070345:21:09.751516,-11.6432
1070345:21:09.759871,-11.6433
1070345:21:09.769012,-7.21459
1070345:21:09.777494,-4.93914
1070345:21:09.786341,-3.5996
1070345:21:09.794916,-2.81608
1070345:21:09.852414,-8.76348
1070345:21:09.860985,-11.6432
1070345:21:09.869922,-11.6433
1070345:21:09.877924,-11.6433
1070345:21:09.887488,-11.6431
1070345:21:09.895864,-11.643
1070345:21:09.953659,-11.643
1070345:21:09.962344,-11.6432
1070345:21:09.971551,-11.643
1070345:21:09.979731,-11.6429
1070345:21:09.988749,-11.6433
1070345:21:09.997787,-11.643
1070345:21:10.054498,-11.6433
1070345:21:10.063241,-11.6437
1070345:21:10.071578,-11.6431
1070345:21:10.080842,-11.6438
1070345:21:10.089678,-8.48865
1070345:21:10.097666,-5.05834
1070345:21:10.107930,-3.37016
1070345:21:10.165355,-9.90038
1070345:21:10.174393,-11.6446
1070345:21:10.182986,-11.6437
1070345:21:10.190692,-11.6438
1070345:21:10.199866,-11.6438
1070345:21:10.209080,-11.6437
1070345:21:10.266639,-11.6437
1070345:21:10.275810,-11.6439
