Time - Plot 0,Intensity,Temperature
42:14.632399,-1.86563,26.0039
42:14.642341,-1.92827,26.0198
42:14.653103,-2.12488,26.0017
42:14.661717,-2.15963,26.0101
42:14.672158,-2.14701,26.0135
42:14.729899,-2.13654,26.0173
42:14.739037,-1.9668,26.0215
42:14.748977,-2.22658,26.019
42:14.757610,-2.46717,26.0279
42:14.767223,-2.49249,26.0105
42:14.777316,-2.13456,26.032
42:14.835276,-2.12314,26.0228
42:14.844441,-2.54982,26.0305
42:14.853531,-2.62607,26.0382
42:14.863570,-2.00546,26.0365
42:14.872690,-1.65883,26.0357
42:14.929603,-2.189,26.0363
42:14.940808,-2.17499,26.0455
42:14.949945,-1.96644,26.0387
42:14.959495,-1.80751,26.0588
42:14.968332,-2.0706,26.0402
42:14.978587,-2.28836,26.0441
42:15.036678,-1.56803,26.0517
42:15.045743,-1.70184,26.0531
42:15.055787,-1.86049,26.0561
42:15.064516,-1.70888,26.0546
42:15.075065,-1.82671,26.0621
42:15.131517,-1.42876,26.0484
42:15.142678,-1.76054,26.0827
42:15.152662,-1.8162,26.064
42:15.161597,-1.73848,26.0652
42:15.171088,-1.53676,26.0677
42:15.181395,-1.13771,26.0676
42:15.238688,-1.44399,26.0752
42:15.248057,-1.26072,26.077
42:15.257847,-1.03823,26.0816
42:15.267119,-0.980157,26.0738
42:15.276297,-1.08029,26.0912
42:15.333549,-1.10015,26.0796
42:15.343722,-1.18896,26.1039
42:15.353839,-1.32783,26.0916
42:15.363253,-1.27579,26.0926
42:15.372239,-0.992808,26.0912
42:15.382258,-0.915334,26.0922
42:15.440059,-1.37777,26.0996
42:15.449846,-1.13824,26.0953
42:15.458839,-0.920306,26.1164
42:15.468457,-1.00019,26.0948
42:15.477832,-1.2573,26.1007
42:15.535557,-1.20692,26.1005
42:15.545775,-1.07669,26.1092
42:15.555923,-1.30271,26.1143
42:15.565035,-1.15976,26.1092
42:15.575356,-1.18464,26.1231
42:15.584579,-1.25749,26.1037
42:15.643251,-1.00724,26.1328
42:15.653210,-1.31529,26.1205
42:15.662238,-1.27331,26.1205
42:15.671294,-1.24153,26.1227
42:15.681496,-1.17419,26.1223
42:15.736917,-1.0029,26.1314
42:15.748966,-1.10625,26.129
42:15.758757,-0.967339,26.1471
42:15.767870,-0.846164,26.1241
42:15.776982,-0.863167,26.1412
42:15.787302,-0.710618,26.1362
42:15.844981,-0.651309,26.1405
42:15.853703,-0.683603,26.1429
42:15.863721,-0.822583,26.1449
42:15.873280,-0.867804,26.148
42:15.882870,-1.10196,26.1436
42:15.892394,-0.9876,26.1609
42:15.950373,-0.986365,26.1462
42:15.959491,-0.929125,26.1718
42:15.969024,-1.01731,26.1538
42:15.978743,-0.832062,26.1546
42:15.988682,-0.832779,26.1595
42:16.046656,-0.820326,26.1664
42:16.056244,-0.58622,26.1666
42:16.066202,-0.744131,26.1598
42:16.075382,-0.824878,26.1799
42:16.084744,-0.763103,26.1603
42:16.094852,-0.658273,26.1734
42:16.152993,-0.904668,26.1769
42:16.161522,-0.97219,26.1744
42:16.171942,-0.834805,26.1768
42:16.180767,-0.720696,26.1778
42:16.190493,-0.78041,26.1835
42:16.248273,-0.907284,26.1837
42:16.257845,-0.71587,26.19
42:16.266812,-0.583505,26.1779
42:16.276600,-0.455817,26.2041
42:16.285536,-0.664904,26.1892
42:16.295784,-0.766474,26.1893
42:16.353939,-0.472164,26.2001
42:16.362542,-0.617684,26.2011
42:16.372670,-0.442391,26.2004
42:16.382471,-0.420757,26.1988
42:16.391312,-0.67595,26.2125
42:16.449739,-0.383017,26.2046
42:16.458963,-0.703826,26.2238
42:16.468417,-1.04674,26.2003
42:16.478428,-0.944607,26.2106
42:16.487720,-0.575355,26.2105
42:16.496911,-0.405322,26.2132
42:16.554981,-0.719297,26.2188
42:16.563990,-0.358528,26.2201
42:16.573381,-0.330875,26.2257
42:16.583772,-0.404929,26.2132
42:16.593203,-0.510937,26.2383
42:16.650054,-0.452157,26.2199
42:16.661161,-0.653292,26.2264
42:16.670349,-0.922879,26.231
42:16.679442,-0.809606,26.2315
42:16.689843,-0.58242,26.2315
42:16.698814,-0.587076,26.2302
42:16.757265,-0.778826,26.2425
42:16.766379,-0.657499,26.233
42:16.775515,-0.506981,26.2546
42:16.785981,-0.812233,26.2349
42:16.795018,-1.30346,26.2388
42:16.851441,-1.03355,26.2455
42:16.862655,-0.592003,26.25
42:16.871873,-0.451294,26.2551
42:16.881127,-0.516861,26.2547
42:16.890002,-0.761801,26.2608
42:16.900297,-0.70119,26.2501
42:16.957502,-0.32397,26.2656
42:16.966383,-0.303655,26.2524
42:16.975504,-0.332047,26.2789
42:16.985861,-0.296207,26.2631
42:16.995744,-0.309785,26.2639
42:17.005743,-0.411783,26.2668
42:17.063987,-0.327,26.2739
42:17.073149,-0.334324,26.2773
42:17.082400,-0.305163,26.2731
42:17.091333,-0.465477,26.2891
42:17.101697,-0.414582,26.2692
42:17.159755,-0.339894,26.3
42:17.168892,-0.291813,26.2838
42:17.178325,-0.327303,26.2837
42:17.187544,-0.397723,26.288
42:17.196731,-0.329222,26.2873
42:17.207829,-0.32042,26.2948
42:17.265400,-0.362096,26.293
42:17.274538,-0.391737,26.3012
42:17.284086,-0.325324,26.287
42:17.293193,-0.306071,26.3143
42:17.303287,-0.321408,26.3021
42:17.361344,-0.335397,26.3071
42:17.370017,-0.347648,26.3044
42:17.380221,-0.311719,26.3069
42:17.389198,-0.305372,26.3086
42:17.399205,-0.388295,26.3026
42:17.410164,-0.425362,26.3232
42:17.466816,-0.389487,26.3031
42:17.475855,-0.454601,26.3309
42:17.486122,-0.454421,26.3151
42:17.495223,-0.443181,26.3143
42:17.505052,-0.444539,26.3179
42:17.514911,-0.440184,26.3198
42:17.572839,-0.511983,26.3292
42:17.581454,-0.483275,26.3254
42:17.591343,-0.529183,26.3407
42:17.600354,-0.54934,26.3186
42:17.611497,-0.515051,26.3286
42:17.669985,-0.498056,26.3355
42:17.679273,-0.49817,26.3385
42:17.688131,-0.425906,26.3389
42:17.698435,-0.55959,26.338
42:17.708449,-0.504242,26.3448
42:17.766141,-0.544078,26.3445
42:17.775340,-0.418415,26.362
42:17.784429,-0.470992,26.3405
42:17.794413,-0.536655,26.348
42:17.803799,-0.49755,26.3541
42:17.814535,-0.487658,26.3508
42:17.872059,-0.508112,26.36
42:17.881118,-0.521747,26.3565
42:17.889620,-0.621766,26.3646
42:17.899448,-0.61601,26.3515
42:17.909471,-0.622256,26.3799
42:17.920436,-0.594559,26.3681
42:17.978014,-0.367795,26.3654
42:17.986677,-0.39072,26.3707
42:17.996686,-0.396398,26.3732
42:18.005872,-0.376225,26.3759
42:18.016938,-0.395154,26.3702
42:18.074627,-0.384026,26.3853
42:18.083779,-0.402551,26.3688
42:18.092533,-0.41387,26.3933
42:18.102640,-0.423468,26.3817
42:18.112242,-0.420672,26.3802
42:18.122531,-0.43098,26.3877
42:18.180998,-0.384625,26.3903
42:18.190062,-0.355032,26.3955
42:18.200079,-0.374547,26.3849
42:18.209189,-0.395103,26.4104
42:18.219696,-0.404913,26.3945
42:18.277227,-0.347504,26.4068
42:18.286377,-0.327421,26.4035
42:18.295821,-0.359221,26.404
42:18.304986,-0.395868,26.4033
42:18.314002,-0.423529,26.4043
42:18.325553,-0.41211,26.4197
42:18.382977,-0.539245,26.4081
42:18.391464,-0.61652,26.4276
42:18.402037,-0.676826,26.4062
42:18.411108,-0.682069,26.4127
42:18.420275,-0.607514,26.4149
42:18.479370,-0.580889,26.4208
42:18.488840,-0.623353,26.4258
42:18.497802,-0.627371,26.423
42:18.507093,-0.619139,26.4378
42:18.517117,-0.606029,26.4168
42:18.575365,-0.615561,26.4421
42:18.584457,-0.597634,26.4243
42:18.594641,-0.642135,26.432
42:18.603831,-0.584419,26.4383
42:18.613254,-0.545696,26.44
42:18.622496,-0.552409,26.4376
42:18.633167,-0.556666,26.4343
42:18.690363,-0.577151,26.4491
42:18.699456,-0.598641,26.4378
42:18.709344,-0.588516,26.4621
42:18.718530,-0.553164,26.4433
42:18.727938,-0.545414,26.4468
42:18.784869,-0.600394,26.4498
42:18.796109,-0.590682,26.4592
42:18.805702,-0.599172,26.4581
42:18.814744,-0.681865,26.4556
42:18.824295,-0.741904,26.4635
42:18.833503,-0.750546,26.4494
42:18.891787,-0.57799,26.4761
42:18.900936,-0.624971,26.454
42:18.910330,-0.772976,26.4671
42:18.919499,-0.870876,26.4663
42:18.928887,-0.868389,26.4639
42:18.938564,-0.65612,26.4655
42:18.996555,-0.761233,26.4734
42:19.005560,-0.608374,26.4757
42:19.015614,-0.6455,26.4718
42:19.024835,-0.617493,26.4909
42:19.034480,-0.64914,26.4672
42:19.090872,-0.69719,26.4734
42:19.102190,-0.623769,26.4869
42:19.111292,-0.450473,26.4836
42:19.121050,-0.506987,26.489
42:19.130208,-0.649699,26.4887
42:19.139874,-0.901194,26.4925
42:19.196730,-0.543783,26.4803
42:19.207980,-0.520678,26.5096
42:19.216875,-1.01065,26.4867
42:19.226781,-1.3844,26.5038
42:19.235787,-1.34243,26.5034
42:19.293051,-0.994534,26.5034
42:19.303595,-1.26101,26.5102
42:19.313542,-1.41723,26.5086
42:19.322495,-1.52777,26.5141
42:19.332502,-1.69512,26.5059
42:19.341507,-1.88774,26.5285
42:19.398734,-1.51451,26.5154
42:19.409635,-1.67574,26.5189
42:19.419856,-1.90231,26.5238
42:19.428730,-2.19899,26.5253
42:19.439146,-1.94721,26.5236
42:19.495395,-1.63578,26.5185
42:19.506463,-1.7894,26.5328
42:19.515330,-2.06603,26.5254
42:19.525706,-2.11314,26.5468
42:19.534679,-1.7928,26.5267
42:19.544124,-1.39492,26.5303
42:19.601536,-1.97249,26.5334
42:19.611946,-1.98959,26.5429
42:19.621966,-1.48567,26.544
42:19.630940,-1.3507,26.5392
42:19.641150,-1.61516,26.5565
42:19.697523,-1.95505,26.5354
42:19.708539,-1.53265,26.5675
42:19.717923,-1.02069,26.5526
42:19.727998,-0.997998,26.5492
42:19.738740,-1.20719,26.559
42:19.747931,-1.11496,26.554
42:19.805149,-1.41167,26.5718
42:19.816605,-1.37179,26.5541
42:19.825583,-1.3642,26.5727
42:19.835748,-1.40182,26.5669
42:19.844886,-1.18259,26.5622
42:19.901553,-1.34958,26.5651
42:19.912646,-1.48376,26.5743
42:19.921618,-1.8152,26.5774
42:19.931600,-1.95489,26.5718
42:19.940607,-1.70941,26.5875
42:19.950593,-1.69177,26.5654
42:20.007141,-2.30596,26.5739
42:20.018530,-2.14287,26.5834
42:20.028551,-1.57128,26.5807
42:20.037834,-1.42157,26.5852
42:20.046829,-1.30777,26.5861
42:20.104295,-2.00723,26.5929
42:20.114553,-1.58692,26.5906
42:20.124464,-1.40085,26.6126
42:20.133442,-1.83744,26.5891
42:20.143495,-2.31811,26.597
42:20.153313,-2.35672,26.6023
42:20.210015,-1.79804,26.6024
42:20.221251,-1.65735,26.6087
42:20.230439,-1.86476,26.6081
42:20.239503,-1.68902,26.6169
42:20.249495,-1.51978,26.6029
42:20.305900,-1.80271,26.6264
42:20.316210,-1.86116,26.6085
42:20.326133,-1.65815,26.6236
42:20.335834,-1.71085,26.6239
42:20.344799,-1.95254,26.6202
42:20.355058,-2.01092,26.6238
42:20.411540,-1.8316,26.6216
42:20.422289,-1.75288,26.6321
42:20.432304,-1.68065,26.6238
42:20.441363,-1.63735,26.6456
42:20.451383,-1.6851,26.6306
42:20.508186,-1.94674,26.6303
42:20.518229,-1.69596,26.6406
42:20.529046,-2.17524,26.6442
42:20.538090,-2.48332,26.643
42:20.546744,-2.89623,26.6444
42:20.556975,-3.24418,26.652
42:20.614112,-2.10287,26.6376
42:20.624362,-2.71214,26.6665
42:20.633394,-3.32516,26.6451
42:20.643540,-3.52027,26.6526
42:20.652710,-3.08073,26.6592
42:20.710249,-3.01573,26.6584
42:20.720528,-3.23162,26.6634
42:20.729911,-3.48605,26.6636
42:20.739886,-3.23503,26.667
42:20.749014,-2.89948,26.6587
42:20.757896,-2.82663,26.6816
42:20.815324,-2.84675,26.6683
42:20.826377,-2.92836,26.6778
42:20.835353,-2.67078,26.678
42:20.845945,-2.28243,26.679
42:20.855147,-2.44234,26.6806
42:20.911939,-2.59991,26.6755
42:20.922092,-2.84173,26.6866
42:20.931120,-2.67931,26.6825
42:20.941393,-2.70275,26.7012
42:20.950270,-2.80381,26.6796
42:20.960279,-2.74962,26.6879
42:21.016693,-2.81458,26.6902
42:21.027721,-2.98363,26.6944
42:21.037523,-2.93376,26.7001
42:21.047261,-3.03201,26.7003
42:21.056099,-2.86327,26.7051
42:21.113695,-3.37822,26.6957
42:21.123742,-3.52085,26.7208
42:21.133522,-3.61988,26.6987
42:21.142638,-3.40051,26.7172
42:21.152924,-3.25803,26.7141
42:21.162397,-3.07893,26.7163
42:21.220027,-3.72034,26.7169
42:21.230411,-3.67489,26.7188
42:21.239566,-3.46658,26.7291
42:21.249333,-3.43566,26.7143
42:21.258975,-3.61019,26.7418
42:21.315144,-3.74186,26.7256
42:21.325500,-3.82672,26.7375
42:21.335352,-3.43874,26.7347
42:21.344676,-3.17333,26.7302
42:21.354940,-3.42936,26.7352
42:21.364180,-3.86962,26.7336
42:21.421457,-3.96106,26.7503
42:21.431762,-3.78197,26.7348
42:21.441620,-3.68016,26.7564
42:21.450608,-3.86895,26.739
42:21.460588,-3.98959,26.7445
42:21.518214,-3.7264,26.7499
42:21.528022,-3.65446,26.7514
42:21.537070,-3.73744,26.7573
42:21.547074,-3.96273,26.7537
42:21.556181,-3.97488,26.7615
42:21.566464,-3.90106,26.7493
42:21.623482,-3.45227,26.7649
42:21.634045,-3.45938,26.7592
42:21.643411,-3.68545,26.7658
42:21.652750,-3.64428,26.7716
42:21.662570,-3.59734,26.7709
42:21.672733,-3.58235,26.7752
42:21.730363,-3.17048,26.7759
42:21.739416,-3.14934,26.7858
42:21.749431,-3.14142,26.7717
42:21.758741,-2.89272,26.7965
42:21.768418,-2.88634,26.7835
42:21.826450,-3.10729,26.7805
42:21.835639,-3.01334,26.7929
42:21.845069,-2.63536,26.7933
42:21.854122,-2.67724,26.7927
42:21.864198,-2.72264,26.7903
42:21.921965,-2.79401,26.8081
42:21.931057,-2.96468,26.7942
42:21.941078,-2.83599,26.8172
42:21.950663,-3.22314,26.7945
42:21.960380,-3.3528,26.8008
42:21.969518,-3.18963,26.8036
42:21.980312,-3.17372,26.8067
42:22.038296,-3.48205,26.8145
42:22.046881,-3.55145,26.812
42:22.056852,-3.53929,26.83
42:22.065860,-3.37428,26.8061
42:22.123744,-3.61514,26.8201
42:22.133551,-3.47189,26.8144
42:22.142583,-3.4608,26.8228
42:22.152916,-3.52486,26.832
42:22.162438,-3.80159,26.8301
42:22.171447,-3.88318,26.8332
42:22.182133,-3.94758,26.821
42:22.240437,-3.82841,26.8476
42:22.250108,-3.9114,26.828
42:22.259123,-3.99061,26.8413
42:22.269148,-4.00797,26.8413
42:22.278696,-3.90577,26.8431
42:22.336850,-3.81225,26.8511
42:22.345994,-3.88317,26.847
42:22.355678,-3.90112,26.8548
