Time - Plot 0,Intensity,Temperature
02:57.049403,-2.98728,24.4654
02:57.106281,-2.95891,24.4625
02:57.117074,-3.1808,24.4726
02:57.174144,-2.67144,24.4676
02:57.216520,-2.93299,24.4795
02:57.269860,-2.89777,24.4807
02:57.318007,-3.01157,24.4933
02:57.370943,-3.22643,24.4869
02:57.418683,-3.76657,24.5061
02:57.472148,-3.98475,24.4954
02:57.520306,-4.01676,24.5257
02:57.572742,-4.00837,24.5087
02:57.621118,-3.96942,24.5385
02:57.674551,-3.60377,24.5241
02:57.721993,-3.76192,24.5515
02:57.775146,-3.45405,24.5396
02:57.824298,-3.47569,24.5475
02:57.875767,-3.50482,24.5493
02:57.924953,-3.68382,24.561
02:57.977825,-4.02047,24.5626
02:58.026345,-4.02897,24.5715
02:58.078203,-3.76058,24.5789
02:58.128272,-3.95335,24.5785
02:58.179710,-3.99388,24.5974
02:58.227962,-3.95045,24.592
02:58.280429,-3.91263,24.6086
02:58.327365,-3.6853,24.6021
02:58.381917,-3.64274,24.6199
02:58.429067,-3.25895,24.6095
02:58.482390,-3.72571,24.6334
02:58.529845,-3.62052,24.6185
02:58.584527,-3.46053,24.6309
02:58.631166,-3.40456,24.6403
02:58.685270,-3.48965,24.6414
02:58.732255,-3.32692,24.6538
02:58.786307,-3.00854,24.6556
02:58.833357,-2.9239,24.6672
02:58.888409,-2.74286,24.6681
02:58.934488,-2.89758,24.6786
02:58.989707,-3.07571,24.6789
02:59.036057,-3.15107,24.6934
02:59.090160,-3.31417,24.6835
02:59.136383,-3.24697,24.7059
02:59.192034,-3.59387,24.6929
02:59.237726,-3.52272,24.7244
02:59.292822,-3.38394,24.7071
02:59.339235,-3.12672,24.7421
02:59.393688,-2.86934,24.7268
02:59.439865,-3.06703,24.7396
02:59.495574,-3.42755,24.7371
02:59.541098,-3.47177,24.7446
02:59.596260,-3.23301,24.7482
02:59.642766,-3.17219,24.7604
02:59.697544,-3.38934,24.7626
02:59.743090,-3.28458,24.7739
02:59.799042,-3.43083,24.7729
02:59.845121,-3.54477,24.7797
02:59.899502,-3.73225,24.7976
02:59.946958,-3.80051,24.7869
03:00.000513,-3.77711,24.8026
03:00.048092,-3.80484,24.7973
03:00.102618,-3.73372,24.8047
03:00.148921,-3.78712,24.8151
03:00.203277,-3.67865,24.8165
03:00.250566,-3.69103,24.8311
03:00.303925,-3.74535,24.8305
03:00.351144,-3.74551,24.8404
03:00.405757,-3.62002,24.8419
03:00.452237,-3.08034,24.8506
03:00.506124,-3.57845,24.8504
03:00.554099,-3.44784,24.8678
03:00.606508,-3.70894,24.857
03:00.654938,-3.61802,24.8828
03:00.709843,-3.66448,24.8649
03:00.755946,-3.71616,24.8977
03:00.808455,-3.74079,24.8789
03:00.856863,-3.76784,24.9129
03:00.908843,-3.68668,24.8995
03:00.957414,-3.68241,24.908
03:01.010043,-3.65932,24.9149
03:01.059376,-3.60888,24.9191
03:01.111035,-3.64964,24.9212
03:01.160477,-3.65128,24.9344
03:01.213130,-3.67471,24.9358
03:01.261101,-3.61251,24.9431
03:01.315308,-3.56544,24.9465
03:01.363357,-3.44039,24.9505
03:01.417340,-3.33198,24.9693
03:01.464899,-3.57425,24.957
03:01.518606,-3.56185,24.975
03:01.565894,-3.40823,24.9728
03:01.619897,-3.3502,24.9749
03:01.667530,-3.37627,24.9916
03:01.720901,-3.61388,24.9919
03:01.768155,-3.57557,25.0034
03:01.822165,-3.63452,25.0021
03:01.869312,-3.63785,25.0127
03:01.923721,-3.58604,25.0122
03:01.970946,-3.37224,25.0281
03:02.023845,-2.96012,25.0219
03:02.071538,-3.00127,25.0398
03:02.126343,-2.65282,25.0282
03:02.173185,-3.04385,25.0609
03:02.228222,-2.82927,25.0407
03:02.274158,-2.82351,25.0747
03:02.328196,-2.08275,25.0599
03:02.374502,-2.11204,25.0789
03:02.429733,-2.03563,25.0746
03:02.475277,-2.31481,25.0804
03:02.531675,-1.79868,25.0836
03:02.577654,-1.95091,25.0953
03:02.631328,-1.66924,25.098
03:02.678436,-1.54291,25.1095
03:02.733891,-1.24572,25.1092
03:02.779298,-1.37899,25.1174
03:02.833768,-1.42788,25.1229
03:02.880941,-1.53194,25.1269
03:02.935018,-1.96191,25.1456
03:02.981520,-2.06018,25.1374
03:03.037062,-1.75877,25.1597
