Time - Plot 0,Amplitude - Plot 0
1070345:30:48.015955,-5.57822
1070345:30:48.072758,-11.6433
1070345:30:48.081767,-11.6443
1070345:30:48.090386,-11.6438
1070345:30:48.099131,-11.6441
1070345:30:48.107697,-11.6441
1070345:30:48.116910,-11.6434
1070345:30:48.174505,-11.6441
1070345:30:48.182469,-11.6438
1070345:30:48.191954,-11.6436
1070345:30:48.200074,-11.6436
1070345:30:48.209439,-11.6431
1070345:30:48.218739,-11.6432
1070345:30:48.275481,-11.6435
1070345:30:48.284307,-11.6435
1070345:30:48.292293,-11.6432
1070345:30:48.301477,-11.6431
1070345:30:48.310478,-11.6432
1070345:30:48.319768,-11.6435
1070345:30:48.376385,-7.64734
1070345:30:48.385650,-9.37404
1070345:30:48.394334,-10.0703
1070345:30:48.402964,-11.6433
1070345:30:48.411786,-11.6434
1070345:30:48.420753,-11.6435
1070345:30:48.430329,-11.6432
1070345:30:48.487120,-11.6432
1070345:30:48.495598,-11.6435
1070345:30:48.504280,-11.6432
1070345:30:48.513075,-11.6435
1070345:30:48.522206,-11.6433
1070345:30:48.579266,-11.6436
1070345:30:48.587874,-11.6434
1070345:30:48.596882,-11.6434
1070345:30:48.604524,-11.6433
1070345:30:48.614141,-11.6432
1070345:30:48.622677,-11.6431
1070345:30:48.680444,-11.6441
1070345:30:48.689251,-9.08252
1070345:30:48.698151,-7.84414
1070345:30:48.706302,-8.07538
1070345:30:48.714490,-8.43538
1070345:30:48.724616,-8.17853
1070345:30:48.733190,-8.97746
1070345:30:48.790365,-11.6433
1070345:30:48.799432,-11.644
1070345:30:48.807649,-11.644
1070345:30:48.816617,-11.6437
1070345:30:48.825798,-11.6438
1070345:30:48.834547,-11.6433
1070345:30:48.891394,-11.644
1070345:30:48.899836,-11.6439
1070345:30:48.908516,-11.644
1070345:30:48.917203,-11.6431
1070345:30:48.926269,-11.6432
1070345:30:48.935331,-11.6434
1070345:30:48.992371,-11.6438
1070345:30:49.000943,-11.6437
1070345:30:49.009643,-11.6435
1070345:30:49.018423,-11.6435
1070345:30:49.026974,-9.78755
1070345:30:49.036769,-10.4402
1070345:30:49.094425,-9.59561
1070345:30:49.103222,-11.6436
1070345:30:49.111281,-11.6435
1070345:30:49.119746,-11.6433
1070345:30:49.129247,-11.6435
1070345:30:49.138002,-11.6434
1070345:30:49.194308,-11.6433
1070345:30:49.203490,-11.6434
1070345:30:49.212162,-11.6432
1070345:30:49.220947,-11.643
1070345:30:49.229801,-11.6434
1070345:30:49.238867,-11.6435
1070345:30:49.296086,-11.643
1070345:30:49.304502,-11.6434
1070345:30:49.313638,-11.6433
1070345:30:49.321795,-11.6434
1070345:30:49.331288,-11.6435
1070345:30:49.340294,-11.6436
1070345:30:49.397196,-11.644
1070345:30:49.405511,-11.0529
1070345:30:49.413797,-9.89752
1070345:30:49.422796,-8.97694
1070345:30:49.431715,-8.03997
1070345:30:49.440779,-8.60966
1070345:30:49.497565,-11.6434
1070345:30:49.505571,-11.6433
1070345:30:49.514858,-11.6433
1070345:30:49.523524,-11.6436
1070345:30:49.532435,-11.6436
1070345:30:49.540977,-11.6441
1070345:30:49.599438,-11.6435
1070345:30:49.608179,-11.6439
1070345:30:49.616755,-11.6438
1070345:30:49.625342,-11.644
1070345:30:49.633517,-11.6434
1070345:30:49.642541,-11.6433
1070345:30:49.699912,-11.6439
1070345:30:49.708653,-11.6442
1070345:30:49.717400,-11.6438
1070345:30:49.725759,-11.6442
1070345:30:49.734543,-11.6433
1070345:30:49.742924,-11.6437
1070345:30:49.753530,-11.6435
1070345:30:49.809668,-7.15662
1070345:30:49.818407,-7.76029
1070345:30:49.826955,-10.3633
1070345:30:49.835731,-11.6437
1070345:30:49.843779,-11.6434
1070345:30:49.901541,-11.6432
1070345:30:49.910510,-11.6433
1070345:30:49.919438,-11.6433
1070345:30:49.927386,-11.6436
1070345:30:49.936955,-11.6433
1070345:30:49.945698,-11.6431
1070345:30:49.955502,-11.6435
1070345:30:50.012002,-11.6431
1070345:30:50.020830,-11.6431
1070345:30:50.029240,-11.6431
1070345:30:50.038310,-11.6435
1070345:30:50.047184,-11.6431
1070345:30:50.056588,-11.6435
1070345:30:50.113832,-11.6436
1070345:30:50.122458,-11.6435
1070345:30:50.131349,-11.6432
1070345:30:50.140265,-11.6438
1070345:30:50.148286,-9.8297
1070345:30:50.207065,-9.48454
1070345:30:50.215231,-5.95457
1070345:30:50.223201,-4.65523
1070345:30:50.232358,-6.05935
1070345:30:50.241473,-7.22824
1070345:30:50.249525,-8.86926
1070345:30:50.259488,-10.5385
1070345:30:50.316433,-11.6441
1070345:30:50.324507,-11.6439
1070345:30:50.333732,-11.6441
1070345:30:50.341992,-11.6445
1070345:30:50.351355,-11.6437
1070345:30:50.360238,-11.6431
1070345:30:50.417826,-11.644
1070345:30:50.426483,-11.6434
1070345:30:50.434429,-11.6432
1070345:30:50.443231,-11.6431
1070345:30:50.452211,-11.6433
1070345:30:50.461299,-11.6434
