Time,Amplitude
4.772097000000031,-11.642779999999998
4.780708999999888,-11.642779999999998
4.789289000000053,-11.64282
4.798307999999906,-11.64282
4.807348999999931,-11.642880000000002
4.816481999999951,-11.64292
4.873749000000089,-11.642980000000001
4.8824379999998655,-11.642980000000001
4.891059000000041,-11.643020000000002
4.899503999999979,-11.643040000000001
4.9081240000000435,-11.280124
4.9172940000000835,-10.919244
4.974703999999974,-8.970158
4.983277000000044,-7.395984
4.991256000000021,-5.426716000000001
4.999998000000005,-4.340076000000001
5.00897400000008,-3.9495620000000002
5.018080999999938,-4.288746
5.027712999999949,-4.922868
5.084679000000051,-6.892196
5.0928429999999025,-8.341812000000001
5.102045999999973,-9.093266
5.110292999999956,-10.703128000000001
5.119327999999996,-11.643120000000001
5.176740999999993,-11.64312
5.184708999999884,-11.64314
5.193972000000031,-11.643080000000001
5.202649000000065,-11.643040000000001
5.211366999999882,-11.643080000000001
5.220769999999902,-11.64282
5.278133000000025,-11.64274
5.286583000000064,-11.64278
5.295198000000028,-11.642780000000002
5.304212999999891,-11.642740000000002
5.312459999999874,-11.642840000000001
5.3218460000000505,-11.64278
5.379112999999961,-10.541328
5.387706999999864,-8.653288
5.3966179999999895,-7.315574
5.405277000000069,-5.777626000000001
5.413955999999871,-4.009748
5.423180999999886,-3.2535960000000004
5.480393999999933,-4.098674000000001
5.489047000000028,-5.148568000000001
5.497405999999955,-5.672196000000001
5.506374000000051,-7.225194000000001
5.515333999999939,-9.082758
5.524339999999938,-10.125820000000001
5.581625000000031,-10.413680000000001
5.589494999999943,-11.427980000000002
5.598490999999967,-11.642920000000002
5.607741000000033,-11.642880000000002
5.616469999999936,-11.64282
5.6245890000000145,-11.642820000000002
5.681980999999951,-11.642920000000002
5.690335000000005,-11.64292
5.698785999999927,-11.64298
5.707861999999977,-11.643
5.716617000000042,-11.64298
5.725214000000051,-11.643
5.735095999999885,-11.643080000000001
5.791492999999946,-11.64308
5.799528999999893,-11.6431
5.807876000000078,-11.64324
5.817469000000074,-11.64338
5.826663999999937,-11.280998
5.835912999999891,-10.038258
5.894166000000041,-8.29489
5.902663000000075,-6.48242
5.911798999999974,-4.805596
5.919838999999911,-3.7279980000000004
5.928942000000006,-4.242886
5.939196999999922,-5.736974
5.995507000000089,-7.549384
6.004351000000042,-9.226048
6.01281999999992,-10.665928000000001
6.0219110000000455,-11.393800000000002
6.031054999999924,-11.643100000000002
6.04005600000005,-11.64306
6.097205999999915,-11.643020000000002
6.10574100000008,-11.643060000000002
6.114571000000069,-11.643060000000002
6.123282000000017,-11.642960000000002
6.132662999999866,-11.642940000000001
6.141581999999971,-11.64296
6.19950700000004,-11.6429
6.2077509999999165,-11.64284
6.216552999999976,-11.642959999999999
6.2256190000000515,-11.643180000000001
6.2348259999998845,-11.312102
6.2431850000000395,-10.12801
6.30063999999993,-8.2781
6.309481000000005,-6.432816
6.318598999999949,-4.694223999999999
6.326999999999998,-3.4392840000000002
6.336373999999978,-3.5174659999999998
6.345855000000029,-5.058956
6.40253000000007,-6.904300000000001
6.410890999999992,-8.642712000000001
6.419022000000041,-10.228750000000002
6.427768999999898,-11.334720000000003
6.436774000000014,-11.64314
6.446007000000009,-11.64296
6.503666000000067,-11.642940000000001
6.5122499999999945,-11.64292
6.520688000000064,-11.64288
6.529418000000078,-11.642900000000001
6.537655000000086,-11.643
6.595820000000003,-11.643
6.604557999999997,-11.643060000000002
6.613153999999895,-11.43258
6.621805999999879,-10.788896
6.630394999999908,-9.548280000000002
6.639196000000084,-8.128876
6.6968460000000505,-6.489444000000001
6.705357000000049,-5.39871
6.713882000000012,-5.336952
6.722884999999906,-6.470748
6.730520999999953,-7.890112
6.739577999999938,-9.529464
6.797648999999865,-10.830658
6.806503000000021,-11.536100000000001
6.815618000000086,-11.64284
6.8243210000000545,-11.64284
6.832854999999881,-11.642779999999998
