Time,Amplitude
6.250042000000121,-6.709910000000002
6.259162999999944,-5.854775
6.268170000000055,-4.953996249999999
6.325311000000056,-3.8810192499999996
6.333859000000075,-2.876361375
6.341948000000002,-2.29502825
6.351079000000027,-1.799350875
6.359044999999924,-1.4315508750000001
6.368081000000075,-1.246898375
6.42497000000003,-1.647919625
6.433827000000065,-2.122420875
6.442078000000038,-2.881176625
6.451103999999987,-3.7357957500000003
6.460021000000097,-4.649516375
6.468559000000141,-5.61029125
6.526092000000062,-6.687868750000001
6.535257000000001,-7.677592500000001
6.543507000000091,-8.16287125
6.551860000000033,-8.6238525
6.5614120000000185,-9.011025
6.5701530000001185,-9.272185
6.6274009999999635,-9.110051250000001
6.636449000000084,-8.76483625
6.6444870000000265,-8.204005
6.653553000000102,-7.7162412499999995
6.661884999999984,-7.24561375
6.671142000000145,-6.676653750000001
6.728301000000101,-5.68753125
6.7373640000000705,-4.6834675
6.745865000000094,-4.05786
6.753893999999946,-3.5722687500000005
6.763124000000062,-3.1053900000000003
6.771946000000071,-2.5377575000000006
6.82877899999994,-1.9925487500000003
6.83773199999996,-1.57197
6.84615000000008,-1.589885
6.854915000000119,-1.7368662499999998
6.8628530000000865,-1.8966975
6.872123999999985,-2.004645
6.929722999999967,-2.52211375
6.938523000000032,-3.21232
6.94676400000003,-3.9555374999999993
6.955867000000126,-4.76440625
6.964580999999953,-5.6256362499999994
6.972367000000077,-6.4180737500000005
7.031967000000122,-7.120052499999999
7.040433000000121,-7.77662625
7.049031000000014,-7.950620000000001
7.057629000000134,-7.920417499999999
7.065697,-7.801522499999999
7.074884999999995,-7.550889999999999
7.1327960000000985,-6.720392499999999
7.141487000000097,-5.83007875
7.149933000000146,-5.00246
7.158984000000146,-4.16575625
7.167355999999927,-3.356638125000001
7.176386000000093,-2.5630195000000007
7.234261999999944,-1.9185457499999998
7.242516000000023,-1.43572075
7.2513430000001335,-1.4584145000000002
7.2603579999999965,-1.5786145
7.26847500000008,-1.8768145
7.2776530000001,-2.24331075
7.335327000000007,-3.0952738749999997
7.3438639999999396,-4.07309125
7.351990999999998,-4.93726375
7.361210000000028,-5.7612862499999995
7.369883999999956,-6.617543750000001
7.3787079999999605,-7.420372500000001
7.389004999999997,-8.056761250000001
7.445500000000038,-8.5834425
7.4538709999999355,-8.666173750000002
7.461868999999979,-8.68411375
7.470583000000033,-8.57506625
7.479289000000108,-8.418574999999999
7.489532999999938,-8.11841125
7.547728000000006,-7.483298749999999
7.556254000000081,-6.897264999999999
7.564984999999979,-6.3739375
7.573720999999978,-5.85672
7.582343999999921,-5.11490125
7.592607999999927,-4.452478749999999
7.648320000000012,-3.7574662499999993
7.656985999999961,-3.1218075
7.665590999999949,-2.77744125
7.6745690000000195,-2.35993625
7.682447000000138,-1.9426302500000003
7.69276200000013,-1.5290331250000004
7.7499259999999595,-1.381204375
7.758448999999928,-1.293858125
7.767158999999992,-1.273085625
7.775571000000127,-1.366026875
7.783580000000029,-1.5869118750000002
7.793926000000056,-1.8081843750000002
7.851444000000129,-2.575541625
7.859678000000031,-3.4847625
7.8682390000001305,-4.3426925
7.877578000000085,-5.16718
7.885563000000047,-5.974285
7.896185999999943,-6.76829625
7.952095000000099,-7.5603750000000005
7.961287999999968,-8.3338325
7.969884999999977,-8.54512
7.978894000000082,-8.688265000000001
7.986922999999933,-8.796836250000002
8.045904999999948,-8.81145
8.053859000000102,-8.058195000000001
8.061975999999959,-7.1061587500000005
8.071010000000115,-6.121311250000001
8.080375000000004,-5.064538625000001
8.088206000000127,-4.093904625
8.14657299999999,-3.0633745
8.15502800000013,-2.2426807499999994
8.163668000000143,-1.48955575
8.171913000000131,-1.479122
8.181180999999924,-1.7178095
8.189239000000043,-1.954402
8.198887000000013,-2.319064625
8.255781999999954,-2.7596511249999995
8.263727000000017,-3.2987575000000002
8.272991999999931,-3.7293174999999996
8.281688000000031,-4.147595
8.290054999999938,-4.5337387499999995
8.299212000000125,-4.88831375
8.357079999999996,-5.56860375
8.365731000000096,-6.29256625
8.374387999999954,-6.9553899999999995
8.382823000000144,-7.541062500000001
8.391614000000118,-8.044115
8.400655000000143,-8.60252125
8.458080999999993,-9.10744375
8.467254000000139,-9.52498375
8.476172000000133,-9.57436625
